"","subject","CURRENT_SAC_AMPLITUDE","CURRENT_SAC_DIRECTION","CURRENT_SAC_DURATION","CURRENT_SAC_END_INTEREST_AREAS","CURRENT_SAC_END_INTEREST_AREA_INDEX","CURRENT_SAC_END_INTEREST_AREA_LABEL","CURRENT_SAC_INDEX","CURRENT_SAC_LABEL","CURRENT_SAC_MSG_TEXT_1","CURRENT_SAC_START_INTEREST_AREAS","CURRENT_SAC_START_INTEREST_AREA_INDEX","CURRENT_SAC_START_INTEREST_AREA_LABEL","DATA_FILE","TRIAL_INDEX","TRIAL_LABEL","TRIAL_SACCADE_TOTAL","BUTTON_PRESSED.1.","BUTTON_PRESS_TIME.1.","DISPLAY_ON_TIME.1.","RESPONSE_TIME.1.","RESPONSE_ACCURACY.1.","visual","pic_category","correct","sentence","sentence_type","block","button_expected","polarity","language","congruence","Imagewinner","Ratio","PxSize","logCURRENT_SAC_DURATION"
"11","t1",0.54,"LEFT",16,"[ 1]",1,"ROI_LEFT ",2,"Saccade: 591ms",".","[ 1]",1,"ROI_LEFT ","t1.edf",3,"Trial: 15",3,4,405554,404705.993,848,"correct","fig2_3d4_42px.png",3,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","3d4","42px",2.77258872223978
"12","t1",9.43,"UP",60,"[ 1]",1,"ROI_LEFT ",3,"Saccade: 767ms",".","[ 1]",1,"ROI_LEFT ","t1.edf",3,"Trial: 15",3,4,405554,404705.993,848,"correct","fig2_3d4_42px.png",3,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","3d4","42px",4.0943445622221
"13","t1",10.9,"LEFT",60,"[ 1]",1,"ROI_LEFT ",1,"Saccade: 620ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",4,"Trial: 16",2,4,412175,411255.574,919,"correct","fig2_1d2_28px.png",1,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","1d2","28px",4.0943445622221
"14","t1",7.04,"UP",55,"[ 1]",1,"ROI_LEFT ",2,"Saccade: 885ms",".","[ 1]",1,"ROI_LEFT ","t1.edf",4,"Trial: 16",2,4,412175,411255.574,919,"correct","fig2_1d2_28px.png",1,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","1d2","28px",4.00733318523247
"15","t1",8.8,"LEFT",56,"[ 1]",1,"ROI_LEFT ",1,"Saccade: 310ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",5,"Trial: 17",2,2,418099,417188.544,910,"correct","fig2_rev_5d6_42px.png",4,"0","B < A","2",4,2,"Negative","Math","Incongruent","rev","5d6","42px",4.02535169073515
"16","t1",13.63,"RIGHT",69,"[ 3]",3,"ROI_RIGHT ",2,"Saccade: 667ms",".","[ 1]",1,"ROI_LEFT ","t1.edf",5,"Trial: 17",2,2,418099,417188.544,910,"correct","fig2_rev_5d6_42px.png",4,"0","B < A","2",4,2,"Negative","Math","Incongruent","rev","5d6","42px",4.23410650459726
"17","t1",9.89,"RIGHT",63,"[ 3]",3,"ROI_RIGHT ",1,"Saccade: 513ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",6,"Trial: 18",4,4,424789,423254.845,1534,"correct","fig2_rev_5d6_42px.png",4,"1","B > A","1",4,4,"Positive","Math","Congruent","rev","5d6","42px",4.14313472639153
"18","t1",0.85,"LEFT",23,"[ 3]",3,"ROI_RIGHT ",2,"Saccade: 1117ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",6,"Trial: 18",4,4,424789,423254.845,1534,"correct","fig2_rev_5d6_42px.png",4,"1","B > A","1",4,4,"Positive","Math","Congruent","rev","5d6","42px",3.13549421592915
"19","t1",1.01,"RIGHT",23,"[ 3]",3,"ROI_RIGHT ",3,"Saccade: 1350ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",6,"Trial: 18",4,4,424789,423254.845,1534,"correct","fig2_rev_5d6_42px.png",4,"1","B > A","1",4,4,"Positive","Math","Congruent","rev","5d6","42px",3.13549421592915
"20","t1",16.1,"LEFT",74,"[ 1]",1,"ROI_LEFT ",4,"Saccade: 1499ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",6,"Trial: 18",4,4,424789,423254.845,1534,"correct","fig2_rev_5d6_42px.png",4,"1","B > A","1",4,4,"Positive","Math","Congruent","rev","5d6","42px",4.30406509320417
"21","t1",8.4,"RIGHT",56,"[ 3]",3,"ROI_RIGHT ",1,"Saccade: 487ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",7,"Trial: 19",3,4,430567,429704.426,862,"correct","fig2_rev_9d10_42px.png",4,"1","B > A","1",4,4,"Positive","Math","Congruent","rev","9d10","42px",4.02535169073515
"22","t1",2.72,"DOWN",36,"[ 3]",3,"ROI_RIGHT ",2,"Saccade: 714ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",7,"Trial: 19",3,4,430567,429704.426,862,"correct","fig2_rev_9d10_42px.png",4,"1","B > A","1",4,4,"Positive","Math","Congruent","rev","9d10","42px",3.58351893845611
"23","t1",14.59,"UP",61,"[ ]",NA,".",3,"Saccade: 873ms","button_reponse","[ 3]",3,"ROI_RIGHT ","t1.edf",7,"Trial: 19",3,4,430567,429704.426,862,"correct","fig2_rev_9d10_42px.png",4,"1","B > A","1",4,4,"Positive","Math","Congruent","rev","9d10","42px",4.11087386417331
"24","t1",2.01,"RIGHT",23,"[ 2]",2,"ROI_CENTER ",1,"Saccade: 885ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",8,"Trial: 20",1,2,437097,435987.394,1109,"correct","fig2_rev_9d10_42px.png",4,"0","B < A","2",4,2,"Negative","Math","Incongruent","rev","9d10","42px",3.13549421592915
"25","t1",8.48,"RIGHT",71,"[ 3]",3,"ROI_RIGHT ",1,"Saccade: 568ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",9,"Trial: 21",6,2,443824,441737.036,2086,"correct","fig2_rev_7d8_28px.png",2,"0","B < A","2",4,2,"Negative","Math","Incongruent","rev","7d8","28px",4.26267987704132
"26","t1",2.65,"DOWN",48,"[ 3]",3,"ROI_RIGHT ",2,"Saccade: 785ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",9,"Trial: 21",6,2,443824,441737.036,2086,"correct","fig2_rev_7d8_28px.png",2,"0","B < A","2",4,2,"Negative","Math","Incongruent","rev","7d8","28px",3.87120101090789
"27","t1",6.99,"LEFT",55,"[ 3]",3,"ROI_RIGHT ",3,"Saccade: 1018ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",9,"Trial: 21",6,2,443824,441737.036,2086,"correct","fig2_rev_7d8_28px.png",2,"0","B < A","2",4,2,"Negative","Math","Incongruent","rev","7d8","28px",4.00733318523247
"28","t1",0.8,"LEFT",20,"[ 2]",2,"ROI_CENTER ",4,"Saccade: 1421ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",9,"Trial: 21",6,2,443824,441737.036,2086,"correct","fig2_rev_7d8_28px.png",2,"0","B < A","2",4,2,"Negative","Math","Incongruent","rev","7d8","28px",2.99573227355399
"29","t1",0.59,"LEFT",12,"[ 2]",2,"ROI_CENTER ",5,"Saccade: 1743ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",9,"Trial: 21",6,2,443824,441737.036,2086,"correct","fig2_rev_7d8_28px.png",2,"0","B < A","2",4,2,"Negative","Math","Incongruent","rev","7d8","28px",2.484906649788
"30","t1",0.29,".",7,"[ 2]",2,"ROI_CENTER ",6,"Saccade: 2047ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",9,"Trial: 21",6,2,443824,441737.036,2086,"correct","fig2_rev_7d8_28px.png",2,"0","B < A","2",4,2,"Negative","Math","Incongruent","rev","7d8","28px",1.94591014905531
"31","t1",8.51,"RIGHT",55,"[ 3]",3,"ROI_RIGHT ",1,"Saccade: 302ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",10,"Trial: 22",3,4,449331,448453.295,877,"correct","fig2_rev_3d4_28px.png",2,"1","B > A","1",4,4,"Positive","Math","Congruent","rev","3d4","28px",4.00733318523247
"32","t1",2.06,"RIGHT",25,"[ 3]",3,"ROI_RIGHT ",2,"Saccade: 558ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",10,"Trial: 22",3,4,449331,448453.295,877,"correct","fig2_rev_3d4_28px.png",2,"1","B > A","1",4,4,"Positive","Math","Congruent","rev","3d4","28px",3.2188758248682
"33","t1",8.99,"LEFT",60,"[ 2]",2,"ROI_CENTER ",3,"Saccade: 871ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",10,"Trial: 22",3,4,449331,448453.295,877,"correct","fig2_rev_3d4_28px.png",2,"1","B > A","1",4,4,"Positive","Math","Congruent","rev","3d4","28px",4.0943445622221
"34","t1",1.53,"RIGHT",37,"[ 2]",2,"ROI_CENTER ",1,"Saccade: 432ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",11,"Trial: 23",6,2,455480,453769.639,1710,"correct","fig2_5d6_28px.png",1,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","5d6","28px",3.61091791264422
"35","t1",7.46,"RIGHT",56,"[ 3]",3,"ROI_RIGHT ",2,"Saccade: 859ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",11,"Trial: 23",6,2,455480,453769.639,1710,"correct","fig2_5d6_28px.png",1,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","5d6","28px",4.02535169073515
"36","t1",16.93,"LEFT",61,"[ 1]",1,"ROI_LEFT ",3,"Saccade: 1009ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",11,"Trial: 23",6,2,455480,453769.639,1710,"correct","fig2_5d6_28px.png",1,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","5d6","28px",4.11087386417331
"37","t1",16.57,"RIGHT",77,"[ 3]",3,"ROI_RIGHT ",4,"Saccade: 1242ms",".","[ 1]",1,"ROI_LEFT ","t1.edf",11,"Trial: 23",6,2,455480,453769.639,1710,"correct","fig2_5d6_28px.png",1,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","5d6","28px",4.34380542185368
"38","t1",1.68,"RIGHT",33,"[ 3]",3,"ROI_RIGHT ",5,"Saccade: 1439ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",11,"Trial: 23",6,2,455480,453769.639,1710,"correct","fig2_5d6_28px.png",1,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","5d6","28px",3.49650756146648
"39","t1",9.77,"LEFT",48,"[ 2]",2,"ROI_CENTER ",6,"Saccade: 1719ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",11,"Trial: 23",6,2,455480,453769.639,1710,"correct","fig2_5d6_28px.png",1,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","5d6","28px",3.87120101090789
"40","t1",8.88,"RIGHT",61,"[ 3]",3,"ROI_RIGHT ",1,"Saccade: 419ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",12,"Trial: 24",7,2,461771,460019.231,1751,"correct","fig2_9d10_28px.png",1,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","9d10","28px",4.11087386417331
"41","t1",1.82,"RIGHT",22,"[ 3]",3,"ROI_RIGHT ",2,"Saccade: 604ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",12,"Trial: 24",7,2,461771,460019.231,1751,"correct","fig2_9d10_28px.png",1,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","9d10","28px",3.09104245335832
"42","t1",4.12,"UP",53,"[ 3]",3,"ROI_RIGHT ",3,"Saccade: 776ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",12,"Trial: 24",7,2,461771,460019.231,1751,"correct","fig2_9d10_28px.png",1,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","9d10","28px",3.97029191355212
"43","t1",14.03,"LEFT",68,"[ 1]",1,"ROI_LEFT ",4,"Saccade: 865ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",12,"Trial: 24",7,2,461771,460019.231,1751,"correct","fig2_9d10_28px.png",1,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","9d10","28px",4.21950770517611
"44","t1",14.89,"RIGHT",77,"[ 3]",3,"ROI_RIGHT ",5,"Saccade: 1101ms",".","[ 1]",1,"ROI_LEFT ","t1.edf",12,"Trial: 24",7,2,461771,460019.231,1751,"correct","fig2_9d10_28px.png",1,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","9d10","28px",4.34380542185368
"45","t1",0.76,"RIGHT",22,"[ 3]",3,"ROI_RIGHT ",6,"Saccade: 1337ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",12,"Trial: 24",7,2,461771,460019.231,1751,"correct","fig2_9d10_28px.png",1,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","9d10","28px",3.09104245335832
"46","t1",7.58,"LEFT",56,"[ 2]",2,"ROI_CENTER ",7,"Saccade: 1635ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",12,"Trial: 24",7,2,461771,460019.231,1751,"correct","fig2_9d10_28px.png",1,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","9d10","28px",4.02535169073515
"47","t1",3.88,"LEFT",34,"[ 1]",1,"ROI_LEFT ",1,"Saccade: 391ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",13,"Trial: 25",5,4,469192,468202.077,989,"correct","fig2_7d8_42px.png",3,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","7d8","42px",3.52636052461616
"48","t1",6.29,"LEFT",56,"[ 1]",1,"ROI_LEFT ",2,"Saccade: 608ms",".","[ 1]",1,"ROI_LEFT ","t1.edf",13,"Trial: 25",5,4,469192,468202.077,989,"correct","fig2_7d8_42px.png",3,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","7d8","42px",4.02535169073515
"49","t1",17.3,"RIGHT",72,"[ 3]",3,"ROI_RIGHT ",3,"Saccade: 760ms",".","[ 1]",1,"ROI_LEFT ","t1.edf",13,"Trial: 25",5,4,469192,468202.077,989,"correct","fig2_7d8_42px.png",3,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","7d8","42px",4.27666611901606
"50","t1",0.78,"RIGHT",21,"[ 3]",3,"ROI_RIGHT ",4,"Saccade: 925ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",13,"Trial: 25",5,4,469192,468202.077,989,"correct","fig2_7d8_42px.png",3,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","7d8","42px",3.04452243772342
"51","t1",12.96,"LEFT",57,"[ 1]",1,"ROI_LEFT ",5,"Saccade: 1033ms","button_reponse","[ 3]",3,"ROI_RIGHT ","t1.edf",13,"Trial: 25",5,4,469192,468202.077,989,"correct","fig2_7d8_42px.png",3,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","7d8","42px",4.04305126783455
"52","t1",8.24,"LEFT",47,"[ 1]",1,"ROI_LEFT ",1,"Saccade: 375ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",14,"Trial: 26",6,4,476091,474285.036,1805,"correct","fig2_5d6_28px.png",1,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","5d6","28px",3.85014760171006
"53","t1",16.96,"RIGHT",72,"[ 3]",3,"ROI_RIGHT ",2,"Saccade: 542ms",".","[ 1]",1,"ROI_LEFT ","t1.edf",14,"Trial: 26",6,4,476091,474285.036,1805,"correct","fig2_5d6_28px.png",1,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","5d6","28px",4.27666611901606
"54","t1",0.92,"RIGHT",22,"[ 3]",3,"ROI_RIGHT ",3,"Saccade: 808ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",14,"Trial: 26",6,4,476091,474285.036,1805,"correct","fig2_5d6_28px.png",1,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","5d6","28px",3.09104245335832
"55","t1",12.85,"LEFT",63,"[ 1]",1,"ROI_LEFT ",4,"Saccade: 962ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",14,"Trial: 26",6,4,476091,474285.036,1805,"correct","fig2_5d6_28px.png",1,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","5d6","28px",4.14313472639153
"56","t1",7.19,"LEFT",46,"[ 1]",1,"ROI_LEFT ",5,"Saccade: 1472ms",".","[ 1]",1,"ROI_LEFT ","t1.edf",14,"Trial: 26",6,4,476091,474285.036,1805,"correct","fig2_5d6_28px.png",1,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","5d6","28px",3.8286413964891
"57","t1",2.19,"UP",24,"[ 1]",1,"ROI_LEFT ",6,"Saccade: 1754ms",".","[ 1]",1,"ROI_LEFT ","t1.edf",14,"Trial: 26",6,4,476091,474285.036,1805,"correct","fig2_5d6_28px.png",1,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","5d6","28px",3.17805383034795
"58","t1",8.99,"RIGHT",61,"[ 3]",3,"ROI_RIGHT ",1,"Saccade: 357ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",15,"Trial: 27",5,2,482400,480534.639,1865,"correct","fig2_3d4_42px.png",3,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","3d4","42px",4.11087386417331
"59","t1",1.1,"RIGHT",19,"[ 3]",3,"ROI_RIGHT ",2,"Saccade: 613ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",15,"Trial: 27",5,2,482400,480534.639,1865,"correct","fig2_3d4_42px.png",3,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","3d4","42px",2.94443897916644
"60","t1",10.19,"LEFT",59,"[ 2]",2,"ROI_CENTER ",3,"Saccade: 846ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",15,"Trial: 27",5,2,482400,480534.639,1865,"correct","fig2_3d4_42px.png",3,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","3d4","42px",4.07753744390572
"61","t1",2.28,"RIGHT",36,"[ 2]",2,"ROI_CENTER ",4,"Saccade: 1408ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",15,"Trial: 27",5,2,482400,480534.639,1865,"correct","fig2_3d4_42px.png",3,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","3d4","42px",3.58351893845611
"62","t1",2.11,"LEFT",22,"[ 2]",2,"ROI_CENTER ",5,"Saccade: 1841ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",15,"Trial: 27",5,2,482400,480534.639,1865,"correct","fig2_3d4_42px.png",3,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","3d4","42px",3.09104245335832
"63","t1",6.42,"RIGHT",54,"[ 3]",3,"ROI_RIGHT ",1,"Saccade: 488ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",16,"Trial: 28",3,4,487970,487184.26,785,"correct","fig2_rev_7d8_28px.png",2,"1","B > A","1",4,4,"Positive","Math","Congruent","rev","7d8","28px",3.98898404656427
"64","t1",5.11,"RIGHT",40,"[ 3]",3,"ROI_RIGHT ",2,"Saccade: 641ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",16,"Trial: 28",3,4,487970,487184.26,785,"correct","fig2_rev_7d8_28px.png",2,"1","B > A","1",4,4,"Positive","Math","Congruent","rev","7d8","28px",3.68887945411394
"65","t1",13.08,"LEFT",61,"[ 1]",1,"ROI_LEFT ",3,"Saccade: 814ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",16,"Trial: 28",3,4,487970,487184.26,785,"correct","fig2_rev_7d8_28px.png",2,"1","B > A","1",4,4,"Positive","Math","Congruent","rev","7d8","28px",4.11087386417331
"66","t1",6.31,"RIGHT",52,"[ 3]",3,"ROI_RIGHT ",1,"Saccade: 290ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",17,"Trial: 29",2,4,492940,492183.947,756,"correct","fig2_rev_1d2_42px.png",4,"1","B > A","1",4,4,"Positive","Math","Congruent","rev","1d2","42px",3.95124371858143
"67","t1",7.02,"LEFT",49,"[ 2]",2,"ROI_CENTER ",2,"Saccade: 578ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",17,"Trial: 29",2,4,492940,492183.947,756,"correct","fig2_rev_1d2_42px.png",4,"1","B > A","1",4,4,"Positive","Math","Congruent","rev","1d2","42px",3.89182029811063
"68","t1",3.85,"RIGHT",38,"[ 2]",2,"ROI_CENTER ",1,"Saccade: 481ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",18,"Trial: 30",2,2,498081,497166.951,914,"correct","fig2_rev_1d2_42px.png",4,"0","B < A","2",4,2,"Negative","Math","Incongruent","rev","1d2","42px",3.63758615972639
"69","t1",4.21,"RIGHT",34,"[ 3]",3,"ROI_RIGHT ",2,"Saccade: 928ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",18,"Trial: 30",2,2,498081,497166.951,914,"correct","fig2_rev_1d2_42px.png",4,"0","B < A","2",4,2,"Negative","Math","Incongruent","rev","1d2","42px",3.52636052461616
"70","t1",9.54,"RIGHT",56,"[ 3]",3,"ROI_RIGHT ",1,"Saccade: 487ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",19,"Trial: 31",3,2,510666,509049.567,1616,"correct","fig2_1d2_28px.png",1,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","1d2","28px",4.02535169073515
"71","t1",8.59,"LEFT",166,"[ 2]",2,"ROI_CENTER ",2,"Saccade: 829ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",19,"Trial: 31",3,2,510666,509049.567,1616,"correct","fig2_1d2_28px.png",1,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","1d2","28px",5.11198778835654
"72","t1",0.71,"UP",13,"[ 2]",2,"ROI_CENTER ",3,"Saccade: 1381ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",19,"Trial: 31",3,2,510666,509049.567,1616,"correct","fig2_1d2_28px.png",1,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","1d2","28px",2.56494935746154
"73","t1",8.09,"RIGHT",67,"[ 3]",3,"ROI_RIGHT ",1,"Saccade: 492ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",20,"Trial: 32",5,4,517184,515532.498,1651,"correct","fig2_9d10_28px.png",1,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","9d10","28px",4.20469261939097
"74","t1",11.62,"LEFT",60,"[ 1]",1,"ROI_LEFT ",2,"Saccade: 664ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",20,"Trial: 32",5,4,517184,515532.498,1651,"correct","fig2_9d10_28px.png",1,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","9d10","28px",4.0943445622221
"75","t1",4.89,"LEFT",134,"[ 1]",1,"ROI_LEFT ",3,"Saccade: 1046ms",".","[ 1]",1,"ROI_LEFT ","t1.edf",20,"Trial: 32",5,4,517184,515532.498,1651,"correct","fig2_9d10_28px.png",1,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","9d10","28px",4.89783979995091
"76","t1",1.01,"LEFT",17,"[ 1]",1,"ROI_LEFT ",4,"Saccade: 1328ms",".","[ 1]",1,"ROI_LEFT ","t1.edf",20,"Trial: 32",5,4,517184,515532.498,1651,"correct","fig2_9d10_28px.png",1,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","9d10","28px",2.83321334405622
"77","t1",5.75,"RIGHT",51,"[ 1]",1,"ROI_LEFT ",5,"Saccade: 1628ms",".","[ 1]",1,"ROI_LEFT ","t1.edf",20,"Trial: 32",5,4,517184,515532.498,1651,"correct","fig2_9d10_28px.png",1,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","9d10","28px",3.93182563272433
